Id,Book Title,Book Rating,Author Overall Rating,Genre,Format,Availability,Number of Reviews
1,Things We Hide From The Light,4.3,4.6,Romance,eBook,FALSE,16800
2,Secretly Yours,3.61,5,Romance,eBook/AudioBook,TRUE,1648
3,I Have Some Question For You,4.09,4.74,Mystery,AudioBook,FALSE,1920
4,A Day Of Fallen Night,4.61,5,Fantasy,Hardcopy/eBook,FALSE,3005
5,Looking For Jane,4.48,4.28,Fiction,Hardcopy,TRUE,1149
6,Someone Else's Shoes,4.22,4.67,Romance,Audiobook/eBook/Hardcopy,TRUE,565
7,The Last Tale Of The Flower Bride,3.96,4.77,Fantasy,Hardcopy,TRUE,717
8,Stone Blind,4,4.2,Fantasy,Hardcopy/AudioBook,TRUE,1109
9,She Is A Haunting,3.95,5,Horror,AudioBook,FALSE,113
